0 -7596.0151367188 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 24_1 .4811024051115075905630601492981463149921
.1870117188 -7595.8281250000 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 34 24_30 .0037883485526569077384646367983538691514
.1894531250 -7595.8256835938 1 2 3 4 5 6 7 8 9 10 11 12 13 14 16 17 18 19 20 21 22 23 24 34 24_31 .0035561931460798819299284359049605354024
.1904296876 -7595.8247070312 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 17 18 19 20 21 22 23 24 34 24_32 .0034673645401700715880627951054590848293
.1953125000 -7595.8198242188 1 2 3 4 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23 24 35 24_33 .0030554158309333203472871485709063937941
.1958007813 -7595.8193359375 1 2 3 4 5 6 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 34 36 24_34 .0030170145589800213885450516826286059960
.1992187500 -7595.8159179688 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 36 24_35 .0027613851208977869058280039516211236347
.2006835938 -7595.8144531250 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 39 24_36 .0026585707718328918562942038374677544893
.2045898438 -7595.8105468750 1 2 3 4 5 6 7 8 9 11 12 13 14 15 16 17 18 19 20 21 22 23 24 37 24_37 .0024027295066906085866836184810723199293
.2060546876 -7595.8090820312 1 2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 33 24_38 .0023132689427367133061510354152781308470
.2065429688 -7595.8085937500 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 21 22 23 24 42 24_39 .0022841951745138333860285065999461408662
.2070312500 -7595.8081054688 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 31 24_40 .0022554868130031007049630098118462815550
.2084960938 -7595.8066406250 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 42 24_41 .0021715085200991489915301781505054708726
.2094726563 -7595.8056640625 1 2 3 4 5 6 7 9 10 11 12 13 15 16 17 18 19 20 21 22 23 24 25 26 24_42 .0021172673562661501328261149469057368918
